id,first_name,last_name,position,age,year,team_id,team_abbr,state,country,stars,height,shooting2,shooting3,finishing,ballwork,rebounding,defense,potential,potential_grade,pro_potential_grade,stamina,playtime_expectations,minutes,overall,personality,free_agency,recruiting_bias,work_ethic,academic_bias,player_id,is_redshirt,is_redshirting,has_graduated,has_progressed,created_at,updated_at,deleted_at,free_throw,interior_defense,perimeter_defense,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,archetype,inside_proportion,mid_range_proportion,three_point_proportion,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,will_declare,previous_team_id,previous_team,will_transfer,leaving_status,transfer_status,transfer_likeliness,recruiting_bias_value,legacy_id,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,notes,relative_type
15,Caleb,Burton,SF,24,6,101,TEX,Louisiana,USA,2,6-6,18,10,13,10,12,11,100,A,0,48,2,0,60,Jokester,Average,Average,"Gym Rat",Average,15,0,0,0,0,"2025-12-11 23:12:30.944","2025-12-11 23:12:30.631",NULL,16,12,11,0,0,0,0,0,0,0,0,0,,0,0,0,SF,PF,PF,0,0,0,0,112,CONN,NULL,NULL,0,,0,0,12,6,0,,,0,0,0,,0
16,Ellsworth,Houle,PG,24,6,131,UMBC,Florida,USA,1,6-3,7,11,9,25,9,8,79,B,0,48,4,27,67,Average,Average,Average,"Focuses on Max Weight","Borderline failing",16,0,0,0,0,"2025-12-11 23:18:13.057","2025-12-11 23:18:12.735",NULL,12,11,18,0,1,0,1,1,1,0,1,5,"Floor General",3.125913801524475,3.458758456798914,3.055311215160323,SG,,,27,0,0,0,0,,NULL,NULL,0,,0,0,6,12,0,,,0,0,0,,0
17,Lynwood,Funk,G,0,4,132,WICH,Texas,USA,3,6-4,17,11,13,17,12,11,78,,0,40,16,0,67,Relaxed,Average,Legacy,"Gym Rat","Loves Learning",17,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,Moses,Garcia,F,0,4,132,WICH,,"South Africa",3,6-6,12,12,10,15,10,14,75,,0,40,16,0,61,Average,Average,Average,Average,"Has other priorities",18,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Alejandro,Ballard,G,0,4,132,WICH,California,USA,3,5-11,17,17,13,19,4,10,75,,0,35,13,0,63,Average,"Drafted team discount",Legacy,Loud,Average,19,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,Woodrow,Lowe,PG,23,5,132,WICH,Maryland,USA,4,6-1,20,15,16,16,13,2,65,B,0,42,18,20,66,Average,Market-driven,Legacy,Average,Average,20,0,0,1,1,"2022-10-06 15:21:30.676","2023-04-17 23:49:57.856",NULL,19,1,6,0,0,1,0,0,0,0,1,2,"Mid-Range Magician",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Earl,Green,PG,23,5,132,WICH,Iowa,USA,2,5-11,13,12,7,12,12,11,79,B+,0,40,2,7,53,Selfish,Average,Legacy,Average,Average,21,0,0,1,1,"2022-10-06 15:21:31.926","2023-04-17 23:50:00.180",NULL,13,9,11,1,0,0,1,1,0,1,1,5,"Mid-Range Magician",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Joshua,Clark,PF,23,5,132,WICH,California,USA,3,6-6,11,14,15,17,12,14,82,A-,0,40,9,25,73,Average,"Highest bidder",Average,Average,Average,22,0,0,1,1,"2022-10-06 15:21:33.182","2023-04-17 23:49:54.873",NULL,17,14,16,0,1,0,1,0,0,0,1,3,"Two-Way Wing",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,Carlos,Ramirez,PG,24,6,132,WICH,Illinois,USA,3,6-4,11,13,12,10,11,13,75,B-,0,34,3,9,57,Relaxed,Average,Average,Average,Average,23,0,0,0,0,"2025-02-18 00:03:15.729","2025-02-18 00:03:15.729",NULL,8,16,12,1,0,1,0,1,1,1,1,6,All-Around,1.744149719061427,1.4814520115123992,1.2924461961024785,SG,,,9,0,0,0,0,,NULL,NULL,0,,0,0,10,5,0,,,0,0,0,,0
24,Rocco,Thornhill,G,0,2,132,WICH,Maryland,USA,4,5-7,14,14,13,17,6,11,87,,0,35,14,0,61,Average,"Wants extensions",Average,Average,"Class Clown",24,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Milford,Mckeown,SG,24,6,132,WICH,Maryland,USA,2,6-3,16,11,13,24,10,6,81,A,0,41,8,37,74,Narcissist,Average,Open-Minded,"Working-Class mentality",Studious,25,0,0,0,0,"2025-02-18 00:03:12.325","2025-02-18 00:03:12.325",NULL,17,15,12,1,0,0,1,1,1,1,1,6,All-Around,6.235335245644601,7.96691970635557,3.308165167331537,PG,SG,,30,7,0,0,0,,NULL,NULL,0,,0,0,13,6,0,,,0,0,0,,0
26,Blaine,Oconner,C,24,6,132,WICH,Tennessee,USA,3,6-10,4,8,8,13,17,18,84,B+,0,38,11,35,69,Average,Average,Average,"Center of Attention",Average,26,0,0,0,0,"2025-12-11 23:18:22.598","2025-12-11 23:18:22.276",NULL,6,29,21,0,0,0,0,0,0,1,0,1,"Stretch Bigs",8.614541286069468,3.637555126681755,3.92355531765182,C,PF,,12,23,0,0,0,,NULL,NULL,0,,0,0,5,9,0,,,0,0,0,,0
27,Kristofer,Schmitz,SG,22,4,132,WICH,"Rhode Island",USA,4,6-4,24,17,12,19,7,8,69,A,0,31,14,28,68,Average,Market-driven,Average,"Streams too much","Loves Learning",27,0,0,0,0,"2024-03-20 15:59:47.283","2024-03-20 15:59:47.283",NULL,18,8,15,1,0,0,0,0,0,0,1,2,"Mid-Range Magician",3.8977254702040374,7.923985829464852,3.6668623858706035,PG,,,28,0,0,0,0,,NULL,NULL,0,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,Brandon,Harris,PG,24,6,101,TEX,Maryland,USA,3,6-4,19,17,18,14,10,6,65,A-,0,41,7,38,65,Average,"Championship seeking",Average,Average,"Never Studies",28,0,0,0,0,"2025-12-11 23:12:25.024","2025-12-11 23:12:24.717",NULL,18,4,7,1,0,1,1,1,0,0,1,5,"Mid-Range Magician",4.4,12.6,10.5,SG,PG,,26,12,0,0,44,KANS,NULL,NULL,0,,0,0,10,8,0,,,0,0,0,,0
29,Johnson,Workman,SG,24,6,132,WICH,Florida,USA,3,6-4,20,23,13,21,4,11,76,A+,0,39,4,37,77,Popular,"I'm the starter","Prefers to play for a team with a rich history",Average,"Skips classes often",29,0,0,0,0,"2025-12-11 23:18:18.553","2025-12-11 23:18:18.242",NULL,24,12,22,0,1,0,1,0,0,0,1,3,3-and-D,4.141606387533398,6.995298320541836,4.1499142782855785,SF,SG,,29,8,0,0,0,,NULL,NULL,0,,0,0,10,7,0,,,0,0,0,,0
30,Carson,Sylvester,G,0,4,133,USD,,Germany,3,6-3,19,15,6,13,12,11,68,,0,40,9,0,59,Average,Average,Average,Average,Average,30,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,Albert,Alexander,G,1,5,133,USD,Pennsylvania,USA,1,6-2,12,16,10,13,9,7,67,,0,38,9,0,53,Average,Average,Average,Average,Studious,31,0,0,1,1,"2022-10-06 15:21:44.469","2022-10-06 21:34:33.292",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,Thomas,Williams,G,0,4,133,USD,Arizona,USA,3,6-2,15,11,11,20,12,13,93,,0,40,18,0,69,Average,Average,Average,Average,Average,32,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,Merrill,Lowery,PG,23,5,133,USD,Florida,USA,3,6-4,20,18,15,14,4,13,78,A-,0,37,4,25,68,Average,Average,Average,Average,Average,33,0,0,1,1,"2022-10-06 15:21:47.182","2023-04-17 23:50:06.058",NULL,24,15,16,0,0,0,1,1,0,0,1,3,"Floor General",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,Keneth,Pettit,PF,23,5,133,USD,California,USA,2,6-5,14,10,7,15,17,7,73,B-,0,36,4,20,62,Average,"I'm the starter","Prefers to play for a team with a rich history",Persistant,Average,34,0,0,1,1,"2022-10-06 15:21:48.432","2023-04-17 23:50:10.023",NULL,16,12,8,0,1,0,0,0,0,1,0,2,"Two-Way Wing",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,Ralph,Barnes,PG,23,5,133,USD,Texas,USA,3,6-1,20,19,10,12,13,9,75,B-,0,40,9,25,64,Average,"Hates Tags",Average,"Skips Leg Day",Average,35,0,0,1,1,"2022-10-06 15:21:49.689","2023-04-17 23:50:07.706",NULL,20,10,10,0,1,0,0,1,0,0,0,2,"Sharp Shooter",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,Mack,Flowers,PG,23,5,133,USD,"New Jersey",USA,3,6-4,18,17,12,16,14,8,69,B,0,44,10,39,69,Average,"Money motivated",Average,Average,Average,36,0,0,0,0,"2024-03-20 15:10:52.245","2024-03-20 15:10:52.245",NULL,17,6,14,1,0,1,1,0,0,0,1,4,,4.556958477655133,8.093252957837965,3.4716805287329535,PG,SG,,30,9,0,0,0,,NULL,NULL,0,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,Earl,Diaz,G,0,2,133,USD,Georgia,USA,4,5-11,20,14,12,19,8,9,82,,0,30,10,0,65,Perfectionist,Average,Average,Lazy,Average,37,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,Mario,Spencer,PG,22,4,133,USD,Pennsylvania,USA,3,5-11,19,23,6,18,11,6,90,A-,0,36,10,34,65,Average,Average,"Prefers to play for a specific coach",Loud,Average,39,0,0,0,0,"2024-03-20 15:59:49.647","2024-03-20 15:59:49.647",NULL,21,9,10,0,0,0,0,0,0,0,0,0,,2.4856137150846185,9.045400364642433,4.084330033803475,PG,SG,,10,24,0,0,0,,NULL,NULL,0,,"Robert Baskett",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,Sylvester,Wagner,SF,24,6,133,USD,"New Jersey",USA,2,6-5,22,11,11,13,15,9,88,A+,0,40,5,38,69,Cooperative,Average,Average,Average,Average,40,0,0,0,0,"2025-12-11 23:18:33.927","2025-12-11 23:18:33.561",NULL,11,22,11,1,0,0,0,1,1,1,0,4,"Pure Defender",6.541952827235734,9.348380007064748,2.623117235778548,PF,SF,,30,8,0,0,0,,NULL,NULL,0,,0,0,13,12,0,,,0,0,0,,0
41,Dennis,Harris,SG,24,6,133,USD,California,USA,2,6-6,14,19,12,13,8,7,78,A-,0,37,3,1,54,Average,Average,"Prefers to play for an up-and-coming team",Average,Average,41,0,0,0,0,"2025-12-11 23:18:36.782","2025-12-11 23:18:36.476",NULL,11,7,8,0,0,0,0,0,0,0,0,0,,0.2046546740071072,0.19361228200906155,0.11283261639194492,SG,,,1,0,0,0,0,,NULL,NULL,0,,0,0,3,10,0,,,0,0,0,,0
42,Walter,Cooper,PF,24,6,133,USD,DC,USA,3,6-8,20,14,14,12,15,10,97,A+,0,37,3,36,72,Average,Average,"Prefers to play for a specific coach",Average,Average,42,0,0,0,0,"2025-12-11 23:18:31.956","2025-12-11 23:18:31.643",NULL,19,16,12,0,0,0,0,0,0,0,0,0,,6.7649739463460445,8.439509728600118,2.983795855698099,C,PF,,25,11,0,0,0,,NULL,NULL,0,,"Robert Baskett",0,13,7,0,,,0,0,0,,0
43,Clement,Proctor,G,0,4,69,UNM,Maryland,USA,2,6-4,8,14,15,12,6,14,76,,0,39,12,0,58,Average,Average,Average,Average,Average,43,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,Mark,Bennett,C,0,4,69,UNM,"North Carolina",USA,3,6-9,13,15,19,7,9,14,81,,0,39,17,0,63,Reliable,Average,Average,Quiet,"Studies hard",44,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,Harold,Walker,F,0,4,69,UNM,Missouri,USA,4,6-6,14,12,12,15,16,17,82,,0,40,22,0,73,Uncooperative,Average,Average,Persistant,Average,45,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,Hipolito,Damon,PF,23,5,69,UNM,Florida,USA,3,6-7,17,13,18,21,8,11,78,,0,41,6,25,74,Average,Average,Average,Average,Average,47,0,0,1,1,"2022-10-06 15:22:02.311","2023-04-17 23:33:14.269",NULL,14,13,13,1,0,0,0,1,0,0,0,2,"Point Forward",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,Ambrose,Wilke,SF,23,5,69,UNM,Texas,USA,3,6-5,18,13,16,9,17,6,70,,0,41,6,7,65,Average,Average,"Prefers to be close to home",Average,Average,48,0,0,1,1,"2022-10-06 15:22:03.575","2023-04-17 23:33:18.925",NULL,19,8,6,0,0,0,1,0,0,1,0,2,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,Jonathan,Gonzalez,SF,24,6,69,UNM,"South Carolina",USA,2,6-8,18,9,17,10,14,10,74,A,0,29,7,28,68,Average,Average,Average,Average,Average,49,0,0,0,0,"2024-03-20 15:01:37.549","2024-03-20 15:01:37.549",NULL,15,14,12,0,0,1,0,0,1,1,0,3,Slasher,4.402237535293857,4.387452273681714,4.556023548728236,SG,,,28,0,0,0,0,,NULL,NULL,0,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,Harold,Wood,C,22,4,69,UNM,Florida,USA,4,6-9,2,5,19,9,21,20,79,,0,40,20,25,71,Average,"Wants extensions",Average,Average,Average,50,0,0,1,1,"2022-10-06 15:22:06.370","2023-04-17 23:33:15.930",NULL,2,17,21,0,0,1,0,1,1,0,1,4,"Stretch Bigs",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,Barry,Mitchell,PG,22,4,69,UNM,,Canada,4,6-4,16,16,15,17,13,12,80,,0,36,26,25,74,Average,Average,Average,"Footwork king",Average,51,0,0,1,1,"2022-10-06 15:22:07.633","2023-04-17 23:33:12.634",NULL,18,14,13,0,1,0,0,0,1,1,1,4,"Floor General",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,Eugene,Miller,PG,23,5,192,SLU,Illinois,USA,3,6-4,9,14,15,10,11,5,81,A+,0,32,4,29,52,Average,Average,Average,Average,"Takes AP classes",52,0,0,0,0,"2025-02-18 00:12:09.368","2025-02-18 00:12:09.368",NULL,14,2,7,0,1,0,0,1,0,0,1,3,3-and-D,7.7431116478680595,5.022303458079063,3.6099080697464347,PG,SG,,10,19,0,0,69,UNM,NULL,NULL,0,,0,0,6,8,0,,,0,0,0,,0
53,Hilton,Haggard,PG,24,6,69,UNM,Georgia,USA,2,6-2,13,18,11,22,9,9,71,B-,0,39,5,30,69,Average,Average,Average,Average,Average,53,0,0,0,0,"2025-12-11 23:06:35.434","2025-12-11 23:06:35.112",NULL,11,8,18,0,0,0,0,1,0,0,1,2,"Floor General",4.5887716450418194,4.49703895833595,4.960132316969699,SG,,,30,0,0,0,0,,NULL,NULL,0,,0,0,14,13,0,,,0,0,0,,0
54,Nick,Mendez,C,23,5,69,UNM,California,USA,4,6-9,4,10,21,3,15,19,77,A+,0,33,13,28,63,Average,Average,"Prefers to play for a team with a rich history",Average,Average,54,0,0,0,0,"2025-02-17 23:54:23.102","2025-02-17 23:54:23.102",NULL,2,17,22,0,1,1,0,1,0,0,1,4,"Stretch Bigs",7.265325354001895,0.9432624023709995,6.3959332479925415,PF,,,28,0,0,0,0,,NULL,NULL,0,,0,0,12,7,0,,,0,0,0,,0
55,Michael,Gonzalez,SG,22,4,69,UNM,Pennsylvania,USA,4,6-4,17,22,6,22,16,9,83,A-,0,40,13,35,72,Tough,Average,"Prefers to play in a different state",Average,"Sits at the back of the class",55,0,0,0,0,"2024-03-20 15:57:53.169","2024-03-20 15:57:53.169",NULL,20,7,12,0,0,0,0,0,0,0,0,0,,1.858722514901851,3.7049596977756702,9.404532559843963,PG,SG,,30,5,0,0,0,,NULL,NULL,0,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,Josiah,Muse,F,23,5,25,CSU,Texas,USA,3,6-8,16,10,17,12,9,9,65,,0,40,7,0,60,Flamboyant,"Wants extensions",Average,"Footwork king","Sits at the back of the class",56,0,0,1,1,"2022-10-06 15:22:14.114","2022-10-06 21:30:28.600",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
