id,player_id,team_id,team_abbr,first_name,last_name,position,archetype,age,year,height,overall,shooting2,shooting3,finishing,free_throw,ballwork,rebounding,interior_defense,perimeter_defense,potential_grade,pro_potential_grade,stamina,playtime_expectations,personality,free_agency,recruiting_bias,work_ethic,academic_bias,college_id,college,draft_pick_id,draft_pick,drafted_team_id,drafted_team_abbr,prime_age,is_free_agent,is_nba,is_g_league,is_two_way,is_waived,is_on_trade_block,is_first_team_anba,is_dpoy,is_mvp,is_international,is_super_max_qualified,max_requested,is_retiring,inside_proportion,mid_range_proportion,three_point_proportion,minutes,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,state,country,potential,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,drafted_round,previous_team_id,previous_team,is_accepting_offers,is_negotiating,minimum_value,signing_round,negotiation_round,recruiting_bias_value,has_progressed,rejections,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,notes,relative_type,created_at,updated_at,deleted_at,stars,defense,is_int_generated,is_int_declared
18,18,0,FA,Moses,Garcia,SF,,27,5,6'6,80,16,18,14,14,20,14,19,14,C+,55,44,16,Average,Average,,Average,,132,WICH,0,0,147,BKN,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SF,SG,,0,0,0,,Germany,55,1,1,1,0,1,0,0,0,4,0,2,BKN,1,0,10,4,3,,1,0,11,10,0,,,0,0,0,,0,"2023-01-05 19:17:46.032","2026-02-15 19:02:54.010",NULL,0,15,0,0
19,19,0,FA,Alejandro,Ballard,PG,,27,5,5'11,72,12,21,13,15,24,7,10,15,C-,39,46,19,Average,Average,,Loud,,132,WICH,0,0,149,CHI,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,,Japan,39,1,0,1,0,0,0,0,0,2,0,0,,1,0,1.9,6,5,,1,0,6,9,0,,,0,0,0,,0,"2023-01-05 19:17:32.376","2026-02-15 19:02:54.330",NULL,0,11,0,0
20,20,0,FA,Woodrow,Lowe,PG,"Mid-Range Magician",26,3,6-1,79,18,13,22,21,18,14,5,11,C+,41,47,16,Average,Average,Legacy,Average,Average,132,WICH,0,0,0,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,SG,,0,0,0,Maryland,USA,65,0,0,1,0,0,0,0,1,0,0,0,,1,0,1.7,6,5,,1,0,12,15,0,,,0,0,0,,0,"2023-08-19 22:53:11.014","2026-02-15 19:02:54.653",NULL,4,0,0,0
21,21,0,FA,Earl,Green,PG,"Mid-Range Magician",26,3,5-11,63,17,14,7,14,15,12,12,17,C,36,44,13,Selfish,Average,Legacy,Average,Average,132,WICH,0,0,0,,27,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,SG,,0,0,0,Iowa,USA,79,1,0,0,1,1,0,1,1,0,0,0,,1,0,1.7,6,5,,1,0,13,7,0,,,0,0,0,,0,"2023-08-19 22:53:11.292","2026-02-15 19:02:54.966",NULL,2,0,0,0
22,22,0,FA,Joshua,Clark,PF,"Two-Way Wing",26,3,6-6,84,10,18,18,22,18,13,18,20,C,50,48,15,Average,Average,Average,Average,Average,132,WICH,0,0,0,,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SF,PF,,0,0,0,California,USA,82,0,1,0,1,0,0,0,1,0,0,0,,1,0,10,4,3,,1,0,15,12,0,,,0,0,0,,0,"2023-08-19 22:53:11.574","2026-02-15 19:02:55.282",NULL,3,0,0,0
23,23,0,FA,Carlos,Ramirez,PG,All-Around,25,1,6-4,61,11,13,12,11,11,11,20,12,B-,50,37,0,Relaxed,Average,Average,Average,Average,132,WICH,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Illinois,USA,75,1,0,1,0,1,1,1,1,0,0,0,,1,0,1.5,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:05.033","2026-02-15 19:02:55.597",NULL,3,0,0,0
24,24,0,FA,Rocco,Thornhill,PG,,25,5,5'7,67,13,18,15,10,18,8,14,13,D,30,47,5,Average,Average,,Average,,132,WICH,0,0,175,VAN,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,,Brazil,30,1,1,0,0,0,0,0,1,3,0,0,,1,0,1.9,5,4,,1,0,12,9,0,,,0,0,0,,0,"2023-01-05 19:17:44.495","2026-02-15 19:02:55.916",NULL,0,12,0,0
25,25,0,FA,Milford,Mckeown,SG,All-Around,25,1,6-3,82,18,11,13,19,26,13,15,13,D,24,41,0,Narcissist,Average,Open-Minded,"Working-Class mentality",Studious,132,WICH,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Maryland,USA,81,1,0,0,1,1,1,1,1,0,0,0,,1,0,10,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:05.487","2026-02-15 19:02:56.222",NULL,2,0,0,0
27,27,0,FA,Kristofer,Schmitz,SG,"Mid-Range Magician",24,2,6-4,74,26,19,12,20,19,8,11,18,D+,35,35,4,Average,Market-driven,Average,"Streams too much","Loves Learning",132,WICH,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"Rhode Island",USA,69,1,0,0,0,0,0,0,1,0,0,0,,1,0,1.6,5,4,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:16.314","2026-02-15 19:02:56.540",NULL,4,0,0,0
30,30,0,FA,Carson,Sylvester,SG,,27,5,6'3,68,14,21,8,19,16,15,11,11,C,47,45,22,Average,Average,,Average,,133,USD,0,0,159,MIA,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,SG,,0,0,0,,Algeria,47,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.9,5,4,,1,0,13,13,0,,,0,0,0,,0,"2023-01-05 19:18:41.445","2026-02-15 19:02:56.858",NULL,0,12,0,0
32,32,8,DEN,Thomas,Williams,PG,,27,5,6'2,91,17,20,16,18,24,16,16,19,B+,72,48,15,Reserved,Average,,Average,,133,USD,0,0,157,SDC,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,,Lebanon,72,0,0,0,1,0,0,0,0,1,0,0,,0,0,20,6,5,,1,0,11,14,0,,,0,0,0,,0,"2023-01-05 19:15:33.234","2026-02-15 19:02:57.174",NULL,0,15,0,0
33,33,0,FA,Merrill,Lowery,PG,"Floor General",26,3,6-4,78,20,17,15,30,18,5,19,17,B+,52,43,11,Average,Average,Average,Average,Average,133,USD,0,0,0,,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,SG,,0,0,0,Florida,USA,78,0,0,0,1,1,0,0,1,0,0,0,,1,0,1.7,7,6,,1,0,11,16,0,,,0,0,0,,0,"2023-08-19 22:53:11.859","2026-02-15 19:02:57.491",NULL,3,0,0,0
34,34,0,FA,Keneth,Pettit,PF,"Two-Way Wing",26,3,6-5,67,14,11,8,17,15,18,17,8,B-,53,42,17,Average,Average,"Prefers to play for a team with a rich history",Persistant,Average,133,USD,0,0,0,,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SF,PF,,0,0,0,California,USA,73,0,1,0,0,0,0,1,0,0,0,0,,1,0,1.7,5,4,,1,0,9,12,0,,,0,0,0,,0,"2023-08-19 22:53:12.156","2026-02-15 19:02:57.801",NULL,2,0,0,0
35,35,0,FA,Ralph,Barnes,PG,"Sharp Shooter",26,3,6-1,73,20,24,10,19,18,13,12,10,C+,52,48,16,Average,Average,Average,"Skips Leg Day",Average,133,USD,0,0,0,,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,SG,,0,0,0,Texas,USA,75,0,1,0,0,1,0,0,0,0,0,0,,1,0,1.7,7,6,,1,0,15,9,0,,,0,0,0,,0,"2023-08-19 22:53:12.452","2026-02-15 19:02:58.112",NULL,3,0,0,0
36,36,0,FA,Mack,Flowers,PG,,25,2,6-4,73,23,17,12,18,17,14,6,17,A+,94,48,7,Average,"Money motivated",Average,Average,Average,133,USD,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"New Jersey",USA,69,1,0,1,1,0,0,0,1,0,0,0,,1,0,1.6,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:17.554","2026-02-15 19:02:58.423",NULL,3,0,0,0
37,37,0,FA,Earl,Diaz,PG,,25,5,5'11,76,21,18,14,21,22,10,9,11,C,49,42,5,Selfish,Average,,"Gym Rat",,133,USD,0,0,166,PHI,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,,Syria,49,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.9,5,4,,1,0,14,9,0,,,0,0,0,,0,"2023-01-05 19:17:23.986","2026-02-15 19:02:58.744",NULL,0,10,0,0
39,39,0,FA,Mario,Spencer,PG,,24,2,5-11,73,22,25,8,23,22,11,9,10,B+,70,41,9,Average,Average,"Prefers to play for a specific coach",Loud,Average,133,USD,0,0,0,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Pennsylvania,USA,90,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.6,7,6,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:18.477","2026-02-15 19:02:59.067",NULL,3,0,0,0
43,43,0,FA,Clement,Proctor,PG,,27,5,6'2,62,12,14,15,12,13,3,21,17,C-,43,43,17,Average,Average,,Average,,69,UNM,0,0,0,FA,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,SG,,0,0,0,,Vietnam,43,0,1,0,0,1,0,1,0,3,0,0,FA,1,0,1.9,4,3,,1,0,10,9,0,,,0,0,0,,0,"2023-01-05 19:18:36.877","2026-02-15 19:02:59.376",NULL,0,15,0,0
44,44,0,FA,Mark,Bennett,C,,27,5,6'9,76,20,16,22,19,14,6,16,17,C-,42,46,20,Average,Average,,"Skips Leg Day",,69,UNM,0,0,167,PHX,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PF,,,0,0,0,,Vietnam,42,0,0,0,0,1,0,0,0,1,0,0,,1,0,1.9,6,5,,1,0,13,4,0,,,0,0,0,,0,"2023-01-05 19:17:30.092","2026-02-15 19:02:59.690",NULL,0,15,0,0
45,45,9,"Detroit Pistons",Harold,Walker,PF,,27,5,6'6,107,14,16,18,21,20,29,22,24,B,66,48,21,Narcissist,Adversarial,,Average,,69,UNM,0,0,152,DET,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SF,PF,,0,0,0,,Morocco,66,0,0,1,1,0,1,0,0,3,0,0,,0,0,31,5,4,,1,0,6,10,0,,,0,0,0,,0,"2023-01-05 19:14:55.328","2026-02-15 19:03:00.015",NULL,0,18,0,0
47,47,0,FA,Hipolito,Damon,PF,"Point Forward",26,3,6-7,82,18,17,20,16,21,9,17,13,A,69,47,15,Average,Average,Average,Average,Average,69,UNM,0,0,0,,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,PF,SF,0,0,0,Florida,USA,78,1,0,0,0,1,0,0,0,0,0,0,,1,0,10,4,3,,1,0,8,9,0,,,0,0,0,,0,"2023-08-19 22:53:12.745","2026-02-15 19:03:00.327",NULL,3,0,0,0
48,48,0,FA,Ambrose,Wilke,SF,,26,3,6-5,61,21,15,15,20,9,14,5,5,C+,42,46,10,Average,Average,"Prefers to be close to home",Average,Average,69,UNM,0,0,0,,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SG,SF,,0,0,0,Texas,USA,70,0,0,0,1,0,0,1,0,0,0,0,,1,0,1.7,7,6,,1,0,13,11,0,,,0,0,0,,0,"2023-08-19 22:53:13.028","2026-02-15 19:03:00.632",NULL,3,0,0,0
49,49,0,FA,Jonathan,Gonzalez,SF,Slasher,26,2,6-8,77,18,9,20,15,10,16,20,14,B-,49,30,4,Average,Average,Average,Average,Average,69,UNM,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"South Carolina",USA,74,0,0,1,0,0,1,1,0,0,0,0,,1,0,1.6,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:21.435","2026-02-15 19:03:00.939",NULL,2,0,0,0
50,50,0,FA,Harold,Wood,C,"Stretch Bigs",25,3,6-9,86,6,4,24,2,14,24,19,21,C,45,46,9,Average,Average,Average,Average,Average,69,UNM,0,0,0,,29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,C,,0,0,0,Florida,USA,79,0,0,1,0,1,1,0,1,0,0,0,,1,0,10,7,6,,1,0,9,9,0,,,0,0,0,,0,"2023-08-19 22:53:13.313","2026-02-15 19:03:01.245",NULL,4,0,0,0
51,51,17,"Milwaukee Bucks",Barry,Mitchell,PG,"Floor General",25,3,6-4,87,16,21,15,24,17,16,19,19,A,74,48,5,Average,Average,Average,"Footwork king",Average,69,UNM,0,0,0,,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,,Canada,80,0,1,0,0,0,1,1,1,0,0,0,,0,0,10,7,6,,1,0,11,9,0,,,0,0,0,,0,"2023-08-19 22:53:13.592","2026-02-15 19:03:01.550",NULL,4,0,0,0
52,52,0,FA,Eugene,Miller,PG,3-and-D,24,1,6-4,56,9,16,15,15,11,12,3,8,B-,49,32,0,Average,Average,Average,Average,"Takes AP classes",192,SLU,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Illinois,USA,81,0,1,0,0,1,0,0,1,0,0,0,,1,0,1.5,7,2,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:05.929","2026-02-15 19:03:01.856",NULL,3,0,0,0
54,54,0,FA,Nick,Mendez,C,"Stretch Bigs",24,1,6-9,71,4,11,26,2,6,15,17,22,B-,44,38,0,Average,Average,"Prefers to play for a team with a rich history",Average,Average,69,UNM,0,0,0,,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,California,USA,77,0,1,1,0,1,0,0,1,0,0,0,,1,0,1.5,7,4,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:06.382","2026-02-15 19:03:02.168",NULL,4,0,0,0
55,55,0,FA,Michael,Gonzalez,SG,,24,2,6-4,83,18,26,11,22,22,19,7,12,A,88,45,11,Tough,Average,"Prefers to play in a different state",Average,"Sits at the back of the class",69,UNM,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Pennsylvania,USA,83,0,0,0,0,0,0,0,0,0,0,0,,1,0,10,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:21.740","2026-02-15 19:03:02.489",NULL,4,0,0,0
57,57,16,"Miami Heat",Jesse,Rodriguez,SF,,27,5,6'5,96,18,25,20,15,15,22,23,18,B,65,44,20,Average,Average,,"Track Athlete",,25,CSU,0,0,159,MIA,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PF,SF,SG,0,0,0,,China,65,0,0,0,0,0,0,0,0,0,0,0,,0,0,20,7,6,,1,0,7,15,0,,,0,0,0,,0,"2023-01-05 19:15:23.967","2026-02-15 19:03:02.796",NULL,0,18,0,0
58,58,0,FA,Larry,Griffin,PF,,27,5,6'6,82,12,21,17,15,12,18,15,23,C+,53,42,11,Reliable,Average,,Average,,25,CSU,0,0,160,MIL,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,PF,,0,0,0,,China,53,0,1,0,0,0,0,0,1,2,0,0,,1,0,10,5,4,,1,0,9,13,0,,,0,0,0,,0,"2023-01-05 19:17:33.153","2026-02-15 19:03:03.237",NULL,0,14,0,0
59,59,2,"Brooklyn Nets",Steven,Howard,C,"Rim Protector",26,3,7-0,102,11,17,19,9,15,34,20,24,B,61,48,15,Focused,Average,Average,Average,Average,25,CSU,82,82,2,"Brooklyn Nets",30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C,PF,,0,0,0,Pennsylvania,USA,87,0,0,0,0,0,1,1,1,0,2,0,,1,0,31,5,4,,1,0,17,11,0,,,0,0,0,,0,"2023-08-19 22:47:45.492","2026-02-15 19:03:03.561",NULL,4,0,0,0
60,60,0,FA,Dino,Moye,PG,"Floor General",26,3,6-4,83,20,14,18,18,16,22,8,13,B,54,43,23,Perfectionist,Average,Average,"Streams too much",Average,25,CSU,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,SG,,0,0,0,California,USA,86,1,0,0,0,0,1,0,1,0,0,30,"Utah Jazz",1,0,10,4,3,,1,0,10,11,0,,,0,0,0,,0,"2023-08-19 22:53:20.810","2026-02-15 19:03:03.877",NULL,2,0,0,0
61,61,0,FA,Charley,Timm,PF,"Two-Way Wing",26,3,6-7,70,17,18,9,20,12,14,17,18,B,48,46,16,Average,Average,Open-Minded,Average,Average,25,CSU,0,0,0,,29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,SF,,0,0,0,Tennessee,USA,72,1,1,0,1,1,0,0,1,0,0,0,,1,0,1.7,6,5,,1,0,11,11,0,,,0,0,0,,0,"2023-08-19 22:53:21.104","2026-02-15 19:03:04.200",NULL,2,0,0,0
63,63,0,FA,Santo,Eng,PG,"Defensive Dawg",25,3,6-4,93,23,26,15,19,30,16,11,9,A+,93,46,3,Jokester,Average,Average,"Track Athlete",Average,25,CSU,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,PG,,0,0,0,"New Jersey",USA,88,0,1,1,0,1,1,1,0,0,0,0,,1,0,20,7,6,,1,0,8,11,0,,,0,0,0,,0,"2023-08-19 22:53:21.395","2026-02-15 19:03:04.521",NULL,4,0,0,0
64,64,0,FA,Jules,Stillwell,SF,,25,1,6-5,83,20,17,18,18,17,18,12,12,C+,43,38,0,Average,Average,Average,"Film Room Genius",Average,25,CSU,0,0,0,,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Illinois,USA,92,0,0,0,0,0,0,0,0,0,0,0,,1,0,10,7,4,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:06.820","2026-02-15 19:03:04.836",NULL,3,0,0,0
68,68,0,FA,Darrel,Wallace,PF,"Pure Defender",24,1,6-6,44,4,6,9,5,8,15,5,9,C+,45,41,0,Impatient,Average,Average,Average,"Sits at the front of the class",25,CSU,0,0,0,,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"New York",USA,65,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:07.261","2026-02-15 19:03:05.155",NULL,1,0,0,0
70,70,24,PHX,Jordan,Bridges,SF,,27,5,6'5,91,24,24,16,18,17,16,22,18,B-,57,45,16,Average,"Wants extensions",,Average,,56,MEMP,0,0,177,BOS,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SF,,,0,0,0,,France,57,0,0,0,0,0,0,0,1,1,0,3,BOS,0,0,20,5,4,,1,0,11,15,0,,,0,0,0,,0,"2023-01-05 19:14:54.570","2026-02-15 19:03:05.480",NULL,0,16,0,0
72,72,0,FA,Donald,Wright,SF,"Pure Defender",26,3,6-5,69,10,12,17,10,6,17,19,19,B,55,35,14,Average,Average,"Is going to school mainly for academics","Gym Rat",Average,56,MEMP,0,0,0,,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SG,,,0,0,0,Ohio,USA,73,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,5,4,,1,0,12,18,0,,,0,0,0,,0,"2023-08-19 22:53:21.686","2026-02-15 19:03:05.794",NULL,2,0,0,0
73,73,0,FA,Whitney,Archie,SG,"Defensive Dawg",26,3,6-1,62,20,16,7,20,17,6,15,14,C+,52,34,12,Average,Average,Average,Average,"More likely to get academic probation",56,MEMP,0,0,0,,27,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,SG,,0,0,0,Florida,USA,70,0,0,0,0,0,1,1,1,0,0,0,,1,0,1.7,5,4,,1,0,10,14,0,,,0,0,0,,0,"2023-08-19 22:53:21.965","2026-02-15 19:03:06.107",NULL,1,0,0,0
74,74,0,FA,Johnathan,Sullivan,PG,,26,5,6'0,58,14,14,16,14,18,2,5,12,D+,35,44,13,Paranoid,Average,,Average,,56,MEMP,0,0,151,DEN,29,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG,,,0,0,0,,Malaysia,35,0,1,0,1,0,1,1,1,5,0,0,,1,0,1.9,4,3,,1,0,10,5,0,,,0,0,0,,0,"2023-01-05 19:17:27.012","2026-02-15 19:03:06.426",NULL,0,12,0,0
