H&A vs every team (16 games),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,
"America East, Big South, Summit",,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,,,Week,Home,Away
,,,,,,,,,,,,,,,,13,13A,Team2,Team3
,,,,,,,,,,,,,,,,14,13B,Team6,Team1
,,,,,,,,,,,,,,,,14,13B,Team5,Team7
,,,,,,,,,,,,,,,,14,13B,Team4,Team8
,,,,,,,,,,,,,,,,14,13B,Team3,Team9
,,,,,,,,,,,,,,,,15,14A,Team1,Team5
,,,,,,,,,,,,,,,,15,14A,Team6,Team4
,,,,,,,,,,,,,,,,15,14A,Team7,Team3
,,,,,,,,,,,,,,,,15,14A,Team8,Team2
,,,,,,,,,,,,,,,,16,14B,Team4,Team1
,,,,,,,,,,,,,,,,16,14B,Team3,Team5
,,,,,,,,,,,,,,,,16,14B,Team2,Team6
,,,,,,,,,,,,,,,,16,14B,Team9,Team8
,,,,,,,,,,,,,,,,17,15A,Team1,Team3
,,,,,,,,,,,,,,,,17,15A,Team4,Team2
,,,,,,,,,,,,,,,,17,15A,Team6,Team9
,,,,,,,,,,,,,,,,17,15A,Team7,Team8
,,,,,,,,,,,,,,,,18,15B,Team2,Team1
,,,,,,,,,,,,,,,,18,15B,Team9,Team4
,,,,,,,,,,,,,,,,18,15B,Team8,Team5
,,,,,,,,,,,,,,,,18,15B,Team7,Team6
