1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,,,,,,
"Big West, Coastal Athletic, Sun Belt",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,,,,,,,Week,Home,Away
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team12,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team11,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team10,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team1,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team3,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team4,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team5,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team6,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team7,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team8,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team4,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team2,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team12,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team10,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team14,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team13,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team9,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team1,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team8,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team11,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team6,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team14,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team10,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team12,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team6,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team4,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team8,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team12,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team7,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team9,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team11,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team1,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team2,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team3,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team14,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team5,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team13,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team10,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team2,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team4,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team6,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team8,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team9,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team11,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team13,Team14
