1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,,,,,,
"Big 12, SEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16,,,,,Week,Home,Away
,West Virginia,WVU,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team1,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team2,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team3,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team4,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team13,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team16,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team15,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team14,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team10,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team9,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team8,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team7,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team5,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team6,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team11,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team12,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team1,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team2,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team3,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team4,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team15,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team14,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team13,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team16,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team12,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team11,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team10,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team9,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team5,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team6,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team7,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team8,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team1,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team2,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team3,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team4,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team9,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team16,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team15,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team14,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team14,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team13,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team12,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team11,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team5,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team6,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team7,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team8,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team1,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team2,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team3,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team4,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team11,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team10,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team9,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team16,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team16,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team15,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team14,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team13,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team5,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team6,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team7,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team8,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team4,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team3,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team8,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team7,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team12,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team11,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team16,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team15,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team1,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team2,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team5,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team6,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team9,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team10,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team13,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team14,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team2,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team4,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team6,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team8,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team10,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team12,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team14,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team16,Team15
