 (16 games),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,
"American, MAAC",,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,,,Week,Home,Away
,,,,,,,,,,,,,,,,,,,,12,12B,Team5,Team7
,,,,,,,,,,,,,,,,,,,,12,12B,Team11,Team13
,,,,,,,,,,,,,,,,,,,,13,13A,Team12,Team2
,,,,,,,,,,,,,,,,,,,,13,13A,Team3,Team6
,,,,,,,,,,,,,,,,,,,,13,13A,Team4,Team11
,,,,,,,,,,,,,,,,,,,,13,13A,Team9,Team5
,,,,,,,,,,,,,,,,,,,,13,13A,Team7,Team13
,,,,,,,,,,,,,,,,,,,,13,13A,Team8,Team10
,,,,,,,,,,,,,,,,,,,,14,13B,Team2,Team1
,,,,,,,,,,,,,,,,,,,,14,13B,Team10,Team3
,,,,,,,,,,,,,,,,,,,,14,13B,Team11,Team5
,,,,,,,,,,,,,,,,,,,,14,13B,Team9,Team6
,,,,,,,,,,,,,,,,,,,,14,13B,Team12,Team8
,,,,,,,,,,,,,,,,,,,,15,14A,Team10,Team1
,,,,,,,,,,,,,,,,,,,,15,14A,Team11,Team2
,,,,,,,,,,,,,,,,,,,,15,14A,Team3,Team13
,,,,,,,,,,,,,,,,,,,,15,14A,Team4,Team9
,,,,,,,,,,,,,,,,,,,,15,14A,Team6,Team12
,,,,,,,,,,,,,,,,,,,,15,14A,Team7,Team8
,,,,,,,,,,,,,,,,,,,,16,14B,Team1,Team7
,,,,,,,,,,,,,,,,,,,,16,14B,Team5,Team4
,,,,,,,,,,,,,,,,,,,,16,14B,Team8,Team9
,,,,,,,,,,,,,,,,,,,,16,14B,Team12,Team10
,,,,,,,,,,,,,,,,,,,,16,14B,Team13,Team11
,,,,,,,,,,,,,,,,,,,,17,15A,Team11,Team1
,,,,,,,,,,,,,,,,,,,,17,15A,Team2,Team7
,,,,,,,,,,,,,,,,,,,,17,15A,Team8,Team3
,,,,,,,,,,,,,,,,,,,,17,15A,Team6,Team4
,,,,,,,,,,,,,,,,,,,,17,15A,Team5,Team10
,,,,,,,,,,,,,,,,,,,,17,15A,Team9,Team13
,,,,,,,,,,,,,,,,,,,,18,15B,Team1,Team9
,,,,,,,,,,,,,,,,,,,,18,15B,Team4,Team2
,,,,,,,,,,,,,,,,,,,,18,15B,Team3,Team5
,,,,,,,,,,,,,,,,,,,,18,15B,Team10,Team6
,,,,,,,,,,,,,,,,,,,,18,15B,Team7,Team11
,,,,,,,,,,,,,,,,,,,,18,15B,Team13,Team12
