 (18 games),,,,,,,Week Conference Play Begins:,,6,,,,,,,,,,,,
"Mountain West, Ohio Valley, Southland",,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,,,Week,Home,Away
,,,,14,12B,Team9,Team4,Team10,@ Team2,OPEN,@ Team7,Team6,Team11,@ Team1,@ Team3,@ Team8,,3,7A,Team8,Team7
,,,,15,13A,OPEN,Team8,@ Team6,OPEN,Team11,Team3,@ Team10,@ Team2,OPEN,Team7,@ Team5,,3,7A,Team10,Team11
,,,,16,13B,@ Team6,@ Team11,@ Team9,Team7,@ Team8,Team1,@ Team4,Team5,Team3,OPEN,Team2,,4,7B,Team1,Team8
,,,,17,14A,Team2,@ Team1,Team5,Team10,@ Team3,OPEN,Team8,@ Team7,@ Team11,@ Team4,Team9,,4,7B,Team5,Team3
,,,,18,14B,@ Team10,Team6,Team11,@ Team5,Team4,@ Team2,OPEN,@ Team9,Team8,Team1,@ Team3,,4,7B,Team11,Team4
,,,,19,15A,@ Team11,Team5,OPEN,@ Team6,@ Team2,Team4,@ Team9,Team10,Team7,@ Team8,Team1,,4,7B,Team6,Team7
,,,,20,15B,Team3,@ Team7,@ Team1,Team11,Team9,@ Team10,Team2,OPEN,@ Team5,Team6,@ Team4,,4,7B,Team9,Team10
,,,,,,,,,,,,,,,,,,5,8A,Team3,Team1
,,,,,,,,,,,,,,,,,,5,8A,Team2,Team9
,,,,,,,,,,,,,,,,,,5,8A,Team4,Team8
,,,,,,,,,,,,,,,,,,5,8A,Team7,Team5
,,,,,,,,,,,,,,,,,,5,8A,Team6,Team10
,,,,,,,,,,,,,,,,,,6,8B,Team1,Team6
,,,,,,,,,,,,,,,,,,6,8B,Team2,Team7
,,,,,,,,,,,,,,,,,,6,8B,Team3,Team9
,,,,,,,,,,,,,,,,,,6,8B,Team10,Team4
,,,,,,,,,,,,,,,,,,6,8B,Team11,Team5
,,,,,,,,,,,,,,,,,,7,9A,Team9,Team1
,,,,,,,,,,,,,,,,,,7,9A,Team4,Team2
,,,,,,,,,,,,,,,,,,7,9A,Team10,Team5
,,,,,,,,,,,,,,,,,,7,9A,Team8,Team6
,,,,,,,,,,,,,,,,,,7,9A,Team7,Team11
,,,,,,,,,,,,,,,,,,8,9B,Team4,Team1
,,,,,,,,,,,,,,,,,,8,9B,Team2,Team10
,,,,,,,,,,,,,,,,,,8,9B,Team11,Team3
,,,,,,,,,,,,,,,,,,8,9B,Team6,Team5
,,,,,,,,,,,,,,,,,,8,9B,Team8,Team9
,,,,,,,,,,,,,,,,,,9,10A,Team1,Team11
,,,,,,,,,,,,,,,,,,9,10A,Team6,Team2
,,,,,,,,,,,,,,,,,,9,10A,Team3,Team7
,,,,,,,,,,,,,,,,,,9,10A,Team9,Team4
,,,,,,,,,,,,,,,,,,9,10A,Team10,Team8
,,,,,,,,,,,,,,,,,,10,10B,Team2,Team1
,,,,,,,,,,,,,,,,,,10,10B,Team4,Team3
,,,,,,,,,,,,,,,,,,10,10B,Team5,Team8
,,,,,,,,,,,,,,,,,,10,10B,Team7,Team10
,,,,,,,,,,,,,,,,,,10,10B,Team9,Team11
,,,,,,,,,,,,,,,,,,11,11A,Team1,Team7
,,,,,,,,,,,,,,,,,,11,11A,Team3,Team2
,,,,,,,,,,,,,,,,,,11,11A,Team8,Team4
,,,,,,,,,,,,,,,,,,11,11A,Team9,Team5
,,,,,,,,,,,,,,,,,,11,11A,Team11,Team6
,,,,,,,,,,,,,,,,,,12,11B,Team1,Team4
,,,,,,,,,,,,,,,,,,12,11B,Team10,Team2
,,,,,,,,,,,,,,,,,,12,11B,Team3,Team8
,,,,,,,,,,,,,,,,,,12,11B,Team5,Team7
,,,,,,,,,,,,,,,,,,12,11B,Team6,Team9
,,,,,,,,,,,,,,,,,,13,12A,Team8,Team1
,,,,,,,,,,,,,,,,,,13,12A,Team7,Team3
,,,,,,,,,,,,,,,,,,13,12A,Team4,Team9
,,,,,,,,,,,,,,,,,,13,12A,Team5,Team6
,,,,,,,,,,,,,,,,,,13,12A,Team11,Team10
,,,,,,,,,,,,,,,,,,14,12B,Team1,Team9
,,,,,,,,,,,,,,,,,,14,12B,Team2,Team4
,,,,,,,,,,,,,,,,,,14,12B,Team3,Team10
,,,,,,,,,,,,,,,,,,14,12B,Team7,Team6
,,,,,,,,,,,,,,,,,,14,12B,Team8,Team11
,,,,,,,,,,,,,,,,,,15,13A,Team2,Team8
,,,,,,,,,,,,,,,,,,15,13A,Team6,Team3
,,,,,,,,,,,,,,,,,,15,13A,Team5,Team11
,,,,,,,,,,,,,,,,,,15,13A,Team10,Team7
,,,,,,,,,,,,,,,,,,16,13B,Team6,Team1
,,,,,,,,,,,,,,,,,,16,13B,Team11,Team2
,,,,,,,,,,,,,,,,,,16,13B,Team9,Team3
,,,,,,,,,,,,,,,,,,16,13B,Team4,Team7
,,,,,,,,,,,,,,,,,,16,13B,Team8,Team5
,,,,,,,,,,,,,,,,,,17,14A,Team1,Team2
,,,,,,,,,,,,,,,,,,17,14A,Team3,Team5
,,,,,,,,,,,,,,,,,,17,14A,Team4,Team10
,,,,,,,,,,,,,,,,,,17,14A,Team7,Team8
,,,,,,,,,,,,,,,,,,17,14A,Team11,Team9
,,,,,,,,,,,,,,,,,,18,14B,Team10,Team1
,,,,,,,,,,,,,,,,,,18,14B,Team2,Team6
,,,,,,,,,,,,,,,,,,18,14B,Team3,Team11
,,,,,,,,,,,,,,,,,,18,14B,Team5,Team4
,,,,,,,,,,,,,,,,,,18,14B,Team9,Team8
,,,,,,,,,,,,,,,,,,19,15A,Team11,Team1
,,,,,,,,,,,,,,,,,,19,15A,Team2,Team5
,,,,,,,,,,,,,,,,,,19,15A,Team6,Team4
,,,,,,,,,,,,,,,,,,19,15A,Team9,Team7
,,,,,,,,,,,,,,,,,,19,15A,Team8,Team10
,,,,,,,,,,,,,,,,,,20,15B,Team1,Team3
,,,,,,,,,,,,,,,,,,20,15B,Team7,Team2
,,,,,,,,,,,,,,,,,,20,15B,Team4,Team11
,,,,,,,,,,,,,,,,,,20,15B,Team5,Team9
,,,,,,,,,,,,,,,,,,20,15B,Team10,Team6
