1 game against every team + 1 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,,,,,,
"ACC, Big Ten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16,Team17,Team18,,,Week,Home,Away
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team16,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team15,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team13,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team7,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team6,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team5,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team8,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team9,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team10,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team11,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team12,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team1,Team12
,,,,,,,,,,,,,,,,,,,,,,Team1,Team18,,7,10A,Team2,Team5
,,,,,,,,,,,,,,,,,,,,,,Team2,Team17,,7,10A,Team3,Team4
,,,,,,,,,,,,,,,,,,,,,,Team3,Team16,,7,10A,Team18,Team6
,,,,,,,,,,,,,,,,,,,,,,Team4,Team15,,7,10A,Team17,Team7
,,,,,,,,,,,,,,,,,,,,,,Team5,Team14,,7,10A,Team16,Team8
,,,,,,,,,,,,,,,,,,,,,,Team6,Team13,,7,10A,Team15,Team9
,,,,,,,,,,,,,,,,,,,,,,Team7,Team12,,7,10A,Team14,Team10
,,,,,,,,,,,,,,,,,,,,,,Team8,Team11,,7,10A,Team13,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team11,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team3,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team4,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team5,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team6,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team7,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team8,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team9,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team10,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team1,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team18,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team17,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team16,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team15,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team14,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team13,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team12,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team11,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team9,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team18,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team2,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team3,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team4,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team5,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team6,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team7,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team8,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team1,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team14,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team13,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team12,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team11,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team10,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team9,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team15,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team16,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team7,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team2,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team3,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team4,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team5,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team6,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team18,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team17,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team16,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team1,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team10,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team9,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team8,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team7,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team11,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team12,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team13,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,13,13A,Team14,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team5,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team2,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team3,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team4,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team18,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team17,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team16,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team15,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,14,13B,Team14,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team1,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team6,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team5,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team7,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team8,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team9,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team10,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team11,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,15,14A,Team12,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team3,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team2,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team18,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team17,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team16,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team15,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team14,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team13,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,16,14B,Team12,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team1,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team3,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team4,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team5,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team6,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team7,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team8,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team9,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,17,15A,Team10,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team18,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team17,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team16,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team15,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team14,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team13,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team12,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team11,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,18,15B,Team10,Team9
