id,team,,,,,,,,,,,2024 Order,,2023 Order,
22,Orlando Magic,,,,,,,,,,,3,Boston Celtics,10,Golden State Warriors
2,Brooklyn Nets,,,,,,,,,,,5,Chicago Bulls,20,New York Knicks
26,Sacramento Kings,,,,,,,,,,,2,Brooklyn Nets,26,Sacramento Kings
15,Memphis Grizzlies,,,,,,,,,,,6,Cleveland Cavaliers,3,Boston Celtics
5,Chicago Bulls,,,,,,,,,,,26,Sacramento Kings,25,Portland Trailblazers
17,Milwaukee Bucks,,,,,,,,,,,7,Dallas Mavericks,5,Chicago Bulls
21,Oklahoma City Thunder,,,,,,,,,,,22,Orlando Magic,19,New Orleans Pelicans
31,Vancouver Sea Lions,,,,,,,,,,,32,Washington Wizards,9,Detroit Pistons
25,Portland Trailblazers,,,,,,,,,,,16,Miami Heat,28,Seattle Supersonics
1,Atlanta Hawks,,,,,,,,,,,8,Denver Nuggets,22,Orlando Magic
30,Utah Jazz,,,,,,,,,,,20,New York Knicks,8,Denver Nuggets
27,San Antonio Spurs,,,,,,,,,,,10,Golden State Warriors,27,San Antonio Spurs
8,Denver Nuggets,,,,,,,,,,,30,Utah Jazz,2,Brooklyn Nets
16,Miami Heat,,,,,,,,,,,28,Seattle Supersonics,16,Miami Heat
24,Phoenix Suns,,,,,,,,,,,1,Atlanta Hawks,32,Vancouver Sea Lions
